text,intent
What expression would i use to say i love you if i were an italian?,translate
"Can you tell me how to say 'i do not speak much spanish', in spanish?",translate
"What is the equivalent of, 'life is good' in french?",translate
"Tell me how to say, 'it is a beautiful morning' in italian?",translate
"If i were mongolian, how would i say that i am a tourist?",translate
How do i say 'hotel' in finnish?,translate
"I need you to translate the sentence, 'we will be there soon' into portuguese?",translate
Please tell me how to ask for a taxi in french?,translate
"Can you tell me how i would say, 'more bread please' in french?",translate
What is the correct way to say 'i am a visitor' in french?,translate
"How would i say, 'i don't know the answer' in spanish?",translate
I would like to know the proper way to greet an adult in portuguese?,translate
What words would i use to tell someone i am lost if i were japanese?,translate
How would i say thank you if i were russian?,translate
Can you tell me how i would normally say thank you as a french person?,translate
I would like to know how to say hello in french?,translate
If i were english how would i say subway?,translate
I would i say subway if i were english?,translate
How do you say hi in french?,translate
In england how do they say subway?,translate
Translate hello in french?,translate
How is hello said in french?,translate
What do you call a subway if you were english?,translate
How would i say if i were english subway?,translate
How should i say hello in french?,translate
How could i say twin in chinese?,translate
How can i say not now in spanish?,translate
What do spanish people say for the word cow?,translate
Translate hello to english?,translate
How do you say goodbye in spanish?,translate
How would i say love in french?,translate
Could you translate atm machine into english?,translate
Please translate grocery into french for me?,translate
How do germans say goodnight?,translate
Tell me how the russians say notebook?,translate
How do vietnameses people say hello?,translate
How do i say thank you in japanese?,translate
What is latin for i love you?,translate
How can i thank somebody in italian?,translate
How do i say you're welcome in chinese?,translate
Translate hello english to french?,translate
What is hello in french?,translate
What phrase means goodbye in hawaii?,translate
What spanish word means hello?,translate
Translate hello to french?,translate
Translate english to french hello?,translate
What is the word for hello spanish?,translate
How do they say goodbye in hawaii?,translate
What's local slang for goodbye in hawaii?,translate
How do you say hello in french?,translate
Tell me how to say hello in spanish?,translate
What do i say for goodbye in hawaii?,translate
Translate hello into french for me?,translate
How do i say hello in french?,translate
Translate for me hello into french?,translate
How would they say say goodbye in hawaii?,translate
What is spanish for hello?,translate
